"PY","AU","TI","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"1990","International Organization for Migration; Office of the United Nations High Commissioner for Refugees","Joint IOM","2017-08-31 11:21:20","2017-08-31 11:21:20",,,,,,,,,,,,,"IOM : UNHCR","Geneva","English",,,,,"Open WorldCat",,"OCLC: 822547983",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1990","International Organization for Migration","Background document for the Ninth IOM Seminar on Migration: South-North migration, 4-6 December 1990, Geneva.","2017-08-31 11:21:49","2017-08-31 11:21:49",,,,,,,,"Background document for the Ninth IOM Seminar on Migration",,,,,"IOM","Geneva","English",,,,,"Open WorldCat",,"OCLC: 822539961",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1990","International Organization for Migration; Library; International Organization for Migration; Department of Policy planning, Research and Evaluation","IOM library catalogue: sorted alphabetically by country with subject index and annotations.","2017-08-31 11:23:18","2017-08-31 11:23:18",,,,,,,,"IOM library catalogue",,,,,"International Organization for Migration (IOM), Dept. of Policy Planning, Research and Evaluation","Geneva, Switzerland","English",,,,,"Open WorldCat",,"OCLC: 24073517",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1990","International Organization for Migration; Library; International Organization for Migration; Department of Policy planning, Research and Evaluation","IOM library catalogue sorted alphabetically by country with subject index and annotations.","2017-08-31 11:23:18","2017-08-31 11:23:18",,,,,,,,,,,,,"International Organization for Migration (IOM), Dept. of Policy Planning, Research and Evaluation","Geneva, Switzerland","English",,,,,"Open WorldCat",,"OCLC: 1000384960",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991","International Organization for Migration","South-North migration: Report of the 9th IOM seminar, Geneva, 4-6 December 1990.","2017-08-31 11:21:49","2017-08-31 11:21:49",,,,,,,,"South-North migration",,,,,"IOM","Geneva","English",,,,,"Open WorldCat",,"OCLC: 822539881",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991","International Organization for Migration; Library; International Organization for Migration; Department of Polilcy Planning, Research and Evaluation","IOM library catalogue: sorted by country with subject index and annotations : documents and books received between May 1990 and June 1991.","2017-08-31 11:24:13","2017-08-31 11:24:13",,,,,,,,"IOM library catalogue",,,,,"International Organization for Migration, Dept. of Policy Planning, Research and Evaluation","Geneva, Switzerland","English",,,,,"Open WorldCat",,"OCLC: 37623546",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1992",,"Migration and the environment.","2017-08-31 11:19:42","2017-08-31 11:19:42",,,,,,,,,,,,,"IOM ;","Geneva]; RPG","English",,,,,"Open WorldCat",,"OCLC: 27458128",,,,,,"International Organization for Migration; Refugee Policy Group",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1992","International Organization for Migration","Migration and migration policy: Seminar, Moscow, 13-17 July 1992.","2017-08-31 11:21:20","2017-08-31 11:21:20",,,,,,,,"Migration and migration policy",,,,,"IOM","Geneva","English",,,,,"Open WorldCat",,"OCLC: 822538983",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1992",,"Seminar 'Migration and migration policy'.","2017-08-31 11:21:20","2017-08-31 11:21:20",,,,,,,,,,,,,"International Organization for Migration","Moscow","English",,,,,"Open WorldCat",,"OCLC: 863594535",,,,,,"International Organization for Migration; IOM Seminar ""Migration and Migration Policy""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1992","International Organization for Migration","Policies and practices with respect to rejected asylum seekers.","2017-08-31 11:24:13","2017-08-31 11:24:13",,,,,,,,,,,,,"IOM","Geneva","English",,,,,"Open WorldCat",,"OCLC: 822543378",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
