0000001 002  -----   -----                    
0000003 010  AT      the                      Z5 
0000003 020  NN1     importance               A11.1+ 
0000003 030  IO      of                       Z5 
0000003 040  NN1     emigration               M1/M7 
0000003 050  IF      for                      Z5 
0000003 060  AT      the                      Z5 
0000003 070  NN1     solution                 X4.2 O1.2 
0000003 080  IO      of                       Z5 
0000003 090  NN1     population               S2/N5c 
0000003 100  NN2     problems                 A12- X4.1 N2 B2- 
0000003 110  II      in                       Z5 
0000003 120  JJ      western                  M6 T3- 
0000003 130  NN1     europe                   Z2 
0000005 010  NN1     european                 Z2/S2mf 
0000005 020  NN1     emigration               M1/M7 
0000005 030  RL      overseas                 M6 
0000005 040  RL      past                     M6 
0000005 050  CC      and                      Z5 
0000005 060  NN1     future                   T1.1.3 
0000007 010  DD      some                     N5 Z5 
0000007 020  NN2     aspects                  A4.1 A8 M6 
0000007 030  IO      of                       Z5 
0000007 040  NN1     migration                M1 
0000007 050  NN2     problems                 A12- X4.1 N2 B2- 
0000007 060  II      in                       Z5 
0000007 070  AT      the                      Z5 
0000007 080  NN2     netherlands              Z2 Z3c 
0000009 010  DD      some                     N5 Z5 
0000009 020  JJ      quantitative             N3.1 
0000009 030  NN2     aspects                  A4.1 A8 M6 
0000009 040  IO      of                       Z5 
0000009 050  JJ      future                   T1.1.3 
0000009 060  NN1     population               S2/N5c 
0000009 070  NN1     development              A2.1+ A5.1+/A2.1 H1 
0000009 080  II      in                       Z5 
0000009 090  AT      the                      Z5 
0000009 100  NN2     netherlands              Z2 Z3c 
0000011 010  AT      the                      Z5 
0000011 020  NN2     refugees                 M1/S2mf 
0000011 030  II      as                       Z5 
0000011 040  AT1     a                        Z5 
0000011 050  NN1     burden                   A12- O2 
0000011 060  AT1     a                        Z5 
0000011 070  NN1     stimulus                 A2.2 X5.2+ 
0000011 080  CC      and                      Z5 
0000011 090  AT1     a                        Z5 
0000011 100  NN1     challenge                A12- A6.1- S7.3+ E3- 
0000011 110  II      to                       Z5 
0000011 120  AT      the                      Z5 
0000011 130  ND1     west                     Z2/S2mf[i1.2.1 M6 
0000011 140  NN1     german                   Z2/S2mf[i1.2.2 Z2/S2mf Z2/Q3 
0000011 150  NN1     economy                  I2.1 I1.3- 
0000011 160  NN1     eerder                   Z99 
0000011 170  NN1     uitgegeven               Z99 
