nr	Author	IMR-Sage	REMP-Staatsdrukkerij	IM-Wiley	Dutch_Government	ICEM	REMP	Overlap_IMR_IM
0	A.H.R.	1.00	0.00	0.00	0.00	0.00	0.00	0
1	Abad, R	2.00	0.00	0.00	0.00	0.00	0.00	0
2	Abadan-Unat, N	6.00	0.00	0.00	0.00	0.00	0.00	0
3	Abalos, D	1.00	0.00	0.00	0.00	0.00	0.00	0
4	Abell, N	1.00	0.00	0.00	0.00	0.00	0.00	0
5	Abella, M	0.00	0.00	1.00	0.00	0.00	0.00	0
6	Abernethy, V	2.00	0.00	0.00	0.00	0.00	0.00	0
7	Abete, G	0.00	0.00	1.00	0.00	0.00	0.00	0
8	Abraham, M	1.00	0.00	0.00	0.00	0.00	0.00	0
9	Abraham, N	1.00	0.00	0.00	0.00	0.00	0.00	0
10	Abraham, S	2.00	0.00	0.00	0.00	0.00	0.00	0
11	Abrams, H	1.00	0.00	0.00	0.00	0.00	0.00	0
12	Abramson, H	1.00	0.00	0.00	0.00	0.00	0.00	0
13	Abu-Laban, Y	1.00	0.00	0.00	0.00	0.00	0.00	0
14	Abu-Lughod, J	1.00	0.00	0.00	0.00	0.00	0.00	0
15	Abu-Sahlieh, S	1.00	0.00	0.00	0.00	0.00	0.00	0
16	Abusharaf, R	0.00	0.00	1.00	0.00	0.00	0.00	0
17	Achor, S	1.00	0.00	0.00	0.00	0.00	0.00	0
18	Ackerman, W	1.00	0.00	0.00	0.00	0.00	0.00	0
19	Acuna, R	1.00	0.00	0.00	0.00	0.00	0.00	0
20	Adams, B	0.00	0.00	1.00	0.00	0.00	0.00	0
21	Adams, R	1.00	0.00	0.00	0.00	0.00	0.00	0
22	Addleton, J	0.00	0.00	1.00	0.00	0.00	0.00	0
23	Adelman, H	3.00	0.00	0.00	0.00	0.00	0.00	0
24	Adepoju, A	1.00	0.00	5.00	0.00	0.00	0.00	1
25	Adler, C	1.00	0.00	0.00	0.00	0.00	0.00	0
26	Adler, S	1.00	0.00	0.00	0.00	0.00	0.00	0
27	Afolayan, A	1.00	0.00	0.00	0.00	0.00	0.00	0
28	Agadjanian, V	0.00	0.00	1.00	0.00	0.00	0.00	0
