,label,word,count
0,general and abstract terms,labor,320
1,general and abstract terms,development,287
2,general and abstract terms,assimilation,259
3,general and abstract terms,life,192
4,general and abstract terms,experience,160
5,general and abstract terms,case,146
6,general and abstract terms,labour,140
7,general and abstract terms,developing,124
8,general and abstract terms,integration,108
9,general and abstract terms,impact,104
10,general and abstract terms,return,95
11,general and abstract terms,trends,82
12,general and abstract terms,developments,81
13,general and abstract terms,aspects,72
14,general and abstract terms,world,71
15,general and abstract terms,effects,68
16,general and abstract terms,status,68
17,general and abstract terms,growth,66
18,general and abstract terms,making,65
19,general and abstract terms,family,58
20,general and abstract terms,adaptation,50
21,general and abstract terms,work,49
22,general and abstract terms,problems,47
23,general and abstract terms,adjustment,47
24,general and abstract terms,identity,42
25,general and abstract terms,comparative,41
26,general and abstract terms,internal,40
27,general and abstract terms,relations,40
28,general and abstract terms,change,39
29,general and abstract terms,lives,39
30,the body and the individual,labor,135
31,the body and the individual,case,118
32,the body and the individual,history,98
33,the body and the individual,patterns,60
34,the body and the individual,labour,58
35,the body and the individual,problems,48
36,the body and the individual,health,47
37,the body and the individual,change,39
38,the body and the individual,fertility,32
39,the body and the individual,group,30
40,the body and the individual,groups,30
41,the body and the individual,mental,28
42,the body and the individual,problem,25
43,the body and the individual,growth,22
44,the body and the individual,structure,22
45,the body and the individual,drain,22
46,the body and the individual,brain,21
47,the body and the individual,region,20
48,the body and the individual,asylum,20
49,the body and the individual,changes,19
50,the body and the individual,conditions,16
51,the body and the individual,system,16
52,the body and the individual,border,16
53,the body and the individual,household,14
54,the body and the individual,going,12
55,the body and the individual,model,10
56,the body and the individual,setting,10
57,the body and the individual,period,10
58,the body and the individual,profile,9
59,the body and the individual,systems,8
60,arts and crafts,study,129
61,arts and crafts,cultural,52
62,arts and crafts,life,48
63,arts and crafts,perspective,42
64,arts and crafts,studies,36
65,arts and crafts,culture,32
66,arts and crafts,perspectives,31
67,arts and crafts,work,25
68,arts and crafts,developing,22
69,arts and crafts,cultures,11
70,arts and crafts,composition,10
71,arts and crafts,model,10
72,arts and crafts,lives,9
73,arts and crafts,peasants,9
74,arts and crafts,colonial,8
75,arts and crafts,models,7
76,arts and crafts,oil,4
77,arts and crafts,portrait,4
78,arts and crafts,transfer,3
79,arts and crafts,representation,3
80,arts and crafts,photo,2
81,arts and crafts,illustration,2
82,arts and crafts,transfers,2
83,arts and crafts,water,2
84,arts and crafts,relief,2
85,arts and crafts,print,2
86,arts and crafts,take,2
87,arts and crafts,sections,2
88,arts and crafts,figures,1
89,arts and crafts,taken,1
90,emotion,conflict,28
91,emotion,approach,20
92,emotion,attitudes,19
93,emotion,force,17
94,emotion,black,16
95,emotion,critical,15
96,emotion,challenge,10
97,emotion,press,9
98,emotion,struggle,9
99,emotion,poor,8
100,emotion,do,7
101,emotion,high,7
102,emotion,environment,6
103,emotion,prejudice,6
104,emotion,pressure,5
105,emotion,peace,5
106,emotion,approaches,5
107,emotion,concerns,5
108,emotion,conflicts,5
109,emotion,domestic,5
110,emotion,stress,5
111,emotion,faith,4
112,emotion,disruption,4
113,emotion,does,4
114,emotion,crossing,4
115,emotion,care,4
116,emotion,challenges,4
117,emotion,xenophobia,4
118,emotion,troubled,4
119,emotion,spirit,4
120,food and farming,rural,41
121,food and farming,italians,37
122,food and farming,country,27
123,food and farming,farm,22
124,food and farming,e,17
125,food and farming,agricultural,12
126,food and farming,whites,10
127,food and farming,farmers,9
128,food and farming,peasants,9
129,food and farming,turkey,8
130,food and farming,agriculture,8
131,food and farming,service,7
132,food and farming,high,7
133,food and farming,jersey,7
134,food and farming,swedes,6
135,food and farming,field,6
136,food and farming,pot,6
137,food and farming,growing,6
138,food and farming,peasant,5
139,food and farming,indian,5
140,food and farming,workers,5
141,food and farming,crossing,4
142,food and farming,side,4
143,food and farming,coffee,4
144,food and farming,harvest,4
145,food and farming,take,4
146,food and farming,measures,3
147,food and farming,links,3
148,food and farming,nutrition,3
149,food and farming,wine,3
150,government and public,states,266
151,government and public,case,118
152,government and public,rights,104
153,government and public,return,77
154,government and public,politics,71
155,government and public,political,60
156,government and public,war,58
157,government and public,law,42
158,government and public,internal,40
159,government and public,illegal,29
160,government and public,republic,28
161,government and public,conflict,28
162,government and public,services,28
163,government and public,country,27
164,government and public,citizenship,27
165,government and public,exile,27
166,government and public,legal,22
167,government and public,state,22
168,government and public,service,21
169,government and public,asylum,20
170,government and public,human,19
171,government and public,capital,17
172,government and public,naturalization,17
173,government and public,black,17
174,government and public,white,17
175,government and public,force,16
176,government and public,system,16
177,government and public,border,16
178,government and public,world,15
179,government and public,convention,15
180,"architecture, housing and the home",study,129
181,"architecture, housing and the home",development,96
182,"architecture, housing and the home",studies,36
183,"architecture, housing and the home",home,30
184,"architecture, housing and the home",market,29
185,"architecture, housing and the home",developments,27
186,"architecture, housing and the home",structure,22
187,"architecture, housing and the home",developing,22
188,"architecture, housing and the home",resettlement,21
189,"architecture, housing and the home",drain,21
190,"architecture, housing and the home",asylum,20
191,"architecture, housing and the home",schools,18
192,"architecture, housing and the home",school,17
193,"architecture, housing and the home",border,16
194,"architecture, housing and the home",door,14
195,"architecture, housing and the home",mission,13
196,"architecture, housing and the home",residential,12
197,"architecture, housing and the home",residence,12
198,"architecture, housing and the home",passage,10
199,"architecture, housing and the home",markets,9
200,"architecture, housing and the home",church,9
201,"architecture, housing and the home",place,8
202,"architecture, housing and the home",housing,8
203,"architecture, housing and the home",flight,7
204,"architecture, housing and the home",forms,7
205,"architecture, housing and the home",living,7
206,"architecture, housing and the home",building,7
207,"architecture, housing and the home",exchange,6
208,"architecture, housing and the home",neighborhood,6
209,"architecture, housing and the home",walls,6
210,money and commerce in industry,economic,240
211,money and commerce in industry,labor,151
212,money and commerce in industry,workers,129
213,money and commerce in industry,market,100
214,money and commerce in industry,trade,94
215,money and commerce in industry,city,81
216,money and commerce in industry,return,77
217,money and commerce in industry,labour,72
218,money and commerce in industry,experience,67
219,money and commerce in industry,economy,62
220,money and commerce in industry,mobility,48
221,money and commerce in industry,books,48
222,money and commerce in industry,employment,42
223,money and commerce in industry,change,39
224,money and commerce in industry,settlement,38
225,money and commerce in industry,work,38
226,money and commerce in industry,role,35
227,money and commerce in industry,occupational,35
228,money and commerce in industry,1900,27
229,money and commerce in industry,part,25
230,money and commerce in industry,markets,24
231,money and commerce in industry,situation,23
232,money and commerce in industry,industry,22
233,money and commerce in industry,manpower,21
234,money and commerce in industry,1880,21
235,money and commerce in industry,1914,20
236,money and commerce in industry,factors,19
237,money and commerce in industry,changes,19
238,money and commerce in industry,industrial,18
239,money and commerce in industry,remittances,17
240,"entertainment, sports and games",return,77
241,"entertainment, sports and games",race,45
